area_type,availability,location,total_sqft,bath,balcony,price,bhk,price_per_sqft,high_value,cluster
Super built-up  Area,Ready To Move,Doddathoguru,970.0,2.0,0.0,33.0,2,3402.061855670103,0,2
Super built-up  Area,20-Sep,Whitefield,1459.0,2.0,1.0,94.82,2,6498.971898560658,0,0
Plot  Area,Ready To Move,KR Puram,800.0,1.0,1.0,130.0,2,16250.0,1,1
Super built-up  Area,Ready To Move,Lakshminarayana Pura,1185.0,2.0,2.0,75.0,2,6329.113924050633,0,0
Super built-up  Area,Ready To Move,Begur Road,1200.0,2.0,2.0,44.0,2,3666.6666666666665,0,2
Built-up  Area,20-Feb,Devanahalli,3210.0,2.0,2.0,192.0,4,5981.308411214954,1,0
Super built-up  Area,Ready To Move,other,1500.0,2.0,2.0,185.0,2,12333.333333333334,1,3
Super built-up  Area,Ready To Move,other,845.0,2.0,1.0,55.0,2,6508.87573964497,0,0
Plot  Area,Ready To Move,Whitefield,5700.0,5.0,3.0,650.0,4,11403.508771929824,1,3
Built-up  Area,Ready To Move,Varthur,1160.0,2.0,2.0,44.0,2,3793.103448275862,0,2
Built-up  Area,Ready To Move,Bommanahalli,3000.0,8.0,0.0,140.0,8,4666.666666666667,1,2
Super built-up  Area,Ready To Move,Doddathoguru,1100.0,2.0,1.0,62.0,2,5636.363636363636,0,0
Super built-up  Area,18-Apr,Gunjur,1140.0,2.0,3.0,43.0,2,3771.9298245614036,0,2
Super built-up  Area,Ready To Move,Marathahalli,1220.0,2.0,1.0,57.0,2,4672.131147540984,0,2
Super built-up  Area,20-Aug,Begur Road,1358.0,2.0,1.0,80.58,2,5933.726067746687,0,0
Super built-up  Area,Ready To Move,Hegde Nagar,1569.0,3.0,1.0,101.0,3,6437.221159974506,1,0
Super built-up  Area,18-Apr,Haralur Road,1240.0,2.0,1.0,70.0,2,5645.1612903225805,0,0
Super built-up  Area,Ready To Move,Hennur Road,2089.0,3.0,2.0,140.0,3,6701.771182383915,1,0
Super built-up  Area,Ready To Move,Kothannur,1206.0,2.0,1.0,48.23,2,3999.1708126036483,0,2
Super built-up  Area,Ready To Move,Kalena Agrahara,1150.0,2.0,3.0,40.0,2,3478.2608695652175,0,2
Built-up  Area,Ready To Move,other,2511.0,3.0,3.0,205.0,3,8164.078056551175,1,0
Super built-up  Area,Ready To Move,other,1660.0,2.0,2.0,105.0,3,6325.301204819277,1,0
Built-up  Area,18-Oct,Hennur Road,3203.5,2.0,2.0,224.5,4,7007.960043702201,1,0
Super built-up  Area,19-Mar,Yelahanka,1326.0,2.0,2.0,78.0,2,5882.35294117647,0,0
Super built-up  Area,Ready To Move,Garudachar Palya,1325.0,2.0,2.0,60.8,3,4588.679245283019,0,2
Super built-up  Area,Ready To Move,EPIP Zone,1499.0,5.0,2.0,102.0,3,6804.536357571715,1,0
Built-up  Area,Ready To Move,Hegde Nagar,3000.0,7.0,2.0,210.0,6,7000.0,1,0
Super built-up  Area,17-Sep,Dasanapura,708.0,2.0,2.0,37.0,2,5225.988700564972,0,2
Super built-up  Area,Ready To Move,Kasavanhalli,1060.0,2.0,2.0,58.06,2,5477.358490566037,0,2
Built-up  Area,Ready To Move,Sanjay nagar,1000.0,2.0,2.0,70.0,2,7000.0,0,0
Plot  Area,Ready To Move,other,1200.0,4.0,2.0,155.0,4,12916.666666666666,1,3
Super built-up  Area,17-Aug,Thanisandra,1296.0,2.0,3.0,80.0,2,6172.83950617284,0,0
Super built-up  Area,Ready To Move,Domlur,1540.0,3.0,2.0,90.0,3,5844.1558441558445,0,0
Plot  Area,Ready To Move,Kengeri,2894.0,4.0,1.0,245.0,4,8465.791292328957,1,0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,1330.0,2.0,1.0,48.0,3,3609.0225563909776,0,2
Built-up  Area,Ready To Move,other,1200.0,3.0,1.0,90.0,3,7500.0,0,0
Built-up  Area,Ready To Move,Chandapura,650.0,1.0,1.0,17.0,2,2615.3846153846152,0,2
Plot  Area,Ready To Move,Kothanur,2400.0,2.0,1.0,150.0,3,6250.0,1,0
Built-up  Area,Ready To Move,Rajaji Nagar,1640.0,3.0,2.0,229.0,3,13963.414634146342,1,1
Built-up  Area,Ready To Move,other,782.0,2.0,2.0,55.68,2,7120.204603580562,0,0
Super built-up  Area,19-Apr,Devanahalli,1260.0,2.0,2.0,66.78,2,5300.0,0,2
Super built-up  Area,Ready To Move,other,1800.0,3.0,3.0,120.0,3,6666.666666666667,1,0
Built-up  Area,Ready To Move,Ramamurthy Nagar,3700.0,4.0,1.0,225.0,4,6081.081081081081,1,0
Built-up  Area,Ready To Move,Sarjapur  Road,2497.0,3.0,2.0,140.0,3,5606.728073688426,1,0
Super built-up  Area,18-Dec,Thanisandra,1436.0,3.0,1.0,74.75,3,5205.431754874652,0,2
Super built-up  Area,18-Jun,Malleshwaram,1100.0,2.0,2.0,75.0,2,6818.181818181818,0,0
Super built-up  Area,Ready To Move,Thanisandra,1427.0,3.0,2.0,120.0,3,8409.250175192712,1,0
Super built-up  Area,Ready To Move,Akshaya Nagar,2061.0,3.0,1.0,200.0,3,9704.02717127608,1,3
Super built-up  Area,18-Mar,Hebbal,5611.5,4.0,0.0,477.0,4,8500.400962309543,1,3
Super built-up  Area,22-Dec,Devanahalli,1282.0,2.0,2.0,68.52,3,5344.773790951638,0,2
Built-up  Area,Ready To Move,Kadugodi,1050.0,2.0,1.0,34.0,2,3238.095238095238,0,2
Super built-up  Area,Ready To Move,Hormavu,1500.0,2.0,1.0,78.0,2,5200.0,0,2
Built-up  Area,Ready To Move,other,1870.0,3.0,3.0,110.0,3,5882.35294117647,1,0
Plot  Area,Ready To Move,Sarjapur,1600.0,3.0,1.0,75.0,3,4687.5,0,2
Plot  Area,Ready To Move,other,1200.0,4.0,0.0,210.0,4,17500.0,1,1
Super built-up  Area,Ready To Move,Kudlu Gate,1535.0,3.0,2.0,83.0,3,5407.166123778502,0,2
Built-up  Area,Ready To Move,Kanakpura Road,950.0,2.0,1.0,57.0,2,6000.0,0,0
Super built-up  Area,19-Mar,8th Phase JP Nagar,1073.5,2.0,0.0,54.005,2,5030.740568234746,0,2
Super built-up  Area,18-May,Bommasandra Industrial Area,1280.0,3.0,1.0,50.4,3,3937.5,0,2
Super built-up  Area,19-Jan,other,1260.0,2.0,2.0,85.05,3,6750.0,0,0
Built-up  Area,Ready To Move,Hennur Road,5000.0,8.0,2.0,250.0,8,5000.0,1,0
Super built-up  Area,Ready To Move,Kasavanhalli,1563.05,3.0,1.0,105.0,3,6717.635392341896,1,0
Super built-up  Area,17-Jul,Anandapura,1167.0,2.0,1.0,43.76,2,3749.7857754927163,0,2
Super built-up  Area,Ready To Move,Kothanur,1828.0,3.0,2.0,110.0,3,6017.505470459519,1,0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,890.0,2.0,1.0,35.0,2,3932.5842696629215,0,2
Super built-up  Area,Ready To Move,Kannamangala,957.0,2.0,1.0,58.0,2,6060.606060606061,0,0
Super built-up  Area,Ready To Move,other,2795.0,4.0,2.0,235.0,3,8407.871198568873,1,0
Super built-up  Area,Ready To Move,Hulimavu,1125.0,2.0,2.0,50.0,2,4444.444444444444,0,2
Super built-up  Area,18-Jul,Electronic City Phase II,1020.0,2.0,1.0,30.6,2,3000.0,0,2
Super built-up  Area,Ready To Move,Kalena Agrahara,1200.0,2.0,2.0,50.0,2,4166.666666666667,0,2
Super built-up  Area,Ready To Move,Thanisandra,1735.0,3.0,3.0,135.0,3,7780.979827089337,1,0
Super built-up  Area,Ready To Move,Thanisandra,2050.0,3.0,1.0,145.0,3,7073.170731707317,1,0
Super built-up  Area,18-May,Hosa Road,1063.0,2.0,1.0,32.0,2,3010.348071495767,0,2
Super built-up  Area,Ready To Move,other,1904.0,3.0,1.0,150.0,3,7878.151260504202,1,0
Built-up  Area,Ready To Move,Whitefield,4200.0,4.0,2.0,420.0,4,10000.0,1,3
Super built-up  Area,Ready To Move,other,2000.0,3.0,1.0,175.0,3,8750.0,1,3
Super built-up  Area,18-Dec,Sarjapur,1242.5,2.0,0.0,43.49,2,3500.201207243461,0,2
Super built-up  Area,Ready To Move,Electronic City,1500.0,2.0,1.0,64.5,3,4300.0,0,2
Built-up  Area,Ready To Move,Electronic City,1060.0,2.0,1.0,60.0,2,5660.377358490566,0,0
Super built-up  Area,Ready To Move,Attibele,450.0,1.0,1.0,11.0,1,2444.4444444444443,0,2
Super built-up  Area,18-Apr,Electronic City,1152.0,2.0,1.0,64.5,2,5598.958333333333,0,2
Plot  Area,Ready To Move,other,1500.0,3.0,2.0,100.0,3,6666.666666666667,1,0
Plot  Area,Ready To Move,Nagavara,400.0,1.0,0.0,14.0,1,3500.0,0,2
Super built-up  Area,Ready To Move,Malleshwaram,705.0,1.0,2.0,67.0,1,9503.54609929078,0,3
Super built-up  Area,Ready To Move,Hulimavu,1242.0,2.0,3.0,51.0,2,4106.280193236715,0,2
Super built-up  Area,Ready To Move,Hebbal Kempapura,1700.0,3.0,2.0,155.0,3,9117.64705882353,1,3
Super built-up  Area,Ready To Move,Thanisandra,2144.0,3.0,2.0,145.0,3,6763.059701492537,1,0
Plot  Area,Ready To Move,other,1846.0,3.0,2.0,300.0,3,16251.354279523293,1,1
Super built-up  Area,Ready To Move,KR Puram,1277.5,2.0,0.0,56.8,2,4446.183953033268,0,2
Super built-up  Area,Ready To Move,Marathahalli,1200.0,2.0,2.0,52.0,2,4333.333333333333,0,2
Super built-up  Area,Ready To Move,Pattandur Agrahara,1550.0,2.0,3.0,80.0,3,5161.290322580645,0,2
Super built-up  Area,Ready To Move,Marathahalli,1200.0,2.0,2.0,60.0,2,5000.0,0,2
Super built-up  Area,Ready To Move,Yelahanka,1327.0,2.0,2.0,98.0,2,7385.079125847777,0,0
Super built-up  Area,Ready To Move,Kothanur,1186.0,2.0,2.0,58.0,2,4890.387858347386,0,2
Built-up  Area,Ready To Move,other,1783.0,3.0,1.0,115.0,3,6449.8037016264725,1,0
Super built-up  Area,Ready To Move,EPIP Zone,1285.0,2.0,2.0,82.0,2,6381.322957198444,0,0
Super built-up  Area,Ready To Move,other,912.0,2.0,1.0,70.0,3,7675.438596491228,0,0
Super built-up  Area,Ready To Move,Kogilu,1909.0,3.0,2.0,88.0,3,4609.743321110529,0,2
Super built-up  Area,Ready To Move,Panathur,1359.0,2.0,1.0,87.0,2,6401.766004415011,0,0
Plot  Area,Ready To Move,Padmanabhanagar,1736.0,6.0,0.0,190.0,4,10944.700460829494,1,3
Super built-up  Area,20-May,other,2850.0,4.0,1.0,428.0,4,15017.543859649122,1,1
Super built-up  Area,Ready To Move,Kammasandra,1595.0,3.0,2.0,65.0,3,4075.2351097178685,0,2
Super built-up  Area,Ready To Move,Electronics City Phase 1,1475.0,3.0,2.0,78.29,3,5307.796610169492,0,2
Super built-up  Area,Ready To Move,other,1580.0,3.0,3.0,100.0,3,6329.113924050633,1,0
Super built-up  Area,Ready To Move,Dasarahalli,1295.0,2.0,1.0,65.0,2,5019.305019305019,0,2
Built-up  Area,Ready To Move,Magadi Road,3600.0,6.0,0.0,141.0,6,3916.6666666666665,1,2
Super built-up  Area,Ready To Move,Electronic City,589.0,1.0,1.0,27.0,1,4584.040747028863,0,2
Super built-up  Area,18-Dec,Sarjapur  Road,1787.0,3.0,2.0,98.29,3,5500.279798545048,0,2
Super built-up  Area,Ready To Move,Sarjapur  Road,1787.0,3.0,2.0,125.0,3,6994.963626189144,1,0
Super built-up  Area,Ready To Move,other,2405.0,4.0,2.0,260.0,3,10810.81081081081,1,3
Built-up  Area,Ready To Move,7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2,6666.666666666667,0,0
Plot  Area,Ready To Move,other,1500.0,2.0,1.0,115.0,2,7666.666666666667,1,0
Super built-up  Area,Ready To Move,Hebbal,1900.0,3.0,2.0,119.0,3,6263.1578947368425,1,0
Super built-up  Area,19-Aug,Dommasandra,805.0,2.0,1.0,22.14,2,2750.3105590062114,0,2
Super built-up  Area,Ready To Move,Kalyan nagar,1290.0,2.0,2.0,110.0,2,8527.131782945737,1,0
Super built-up  Area,18-Aug,Chandapura,645.0,1.0,1.0,16.45,1,2550.3875968992247,0,2
Plot  Area,Ready To Move,other,2600.0,8.0,2.0,180.0,8,6923.076923076923,1,0
Super built-up  Area,18-Sep,Chandapura,645.0,1.0,1.0,16.45,1,2550.3875968992247,0,2
Plot  Area,Ready To Move,Electronic City,1200.0,3.0,1.0,90.0,3,7500.0,0,0
Plot  Area,17-May,other,4050.0,3.0,2.0,280.0,3,6913.580246913581,1,0
Super built-up  Area,Ready To Move,OMBR Layout,2420.0,3.0,2.0,185.0,3,7644.628099173554,1,0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2,7322.834645669292,0,0
Plot  Area,Ready To Move,Horamavu Agara,1200.0,2.0,0.0,95.0,4,7916.666666666667,0,0
Super built-up  Area,17-Jun,Electronic City,1108.0,2.0,1.0,63.0,2,5685.9205776173285,0,0
Super built-up  Area,Ready To Move,other,3045.0,3.0,2.0,170.0,3,5582.922824302134,1,0
Plot  Area,Ready To Move,Ambedkar Nagar,2900.0,3.0,2.0,300.0,4,10344.827586206897,1,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1295.0,2.0,2.0,43.9,2,3389.96138996139,0,2
Super built-up  Area,Ready To Move,Budigere,1162.0,2.0,1.0,59.9,2,5154.9053356282275,0,2
Super built-up  Area,Ready To Move,Kalena Agrahara,1804.0,3.0,2.0,120.0,3,6651.884700665189,1,0
Super built-up  Area,Ready To Move,Sarjapur,913.0,2.0,1.0,32.0,2,3504.9288061336256,0,2
Super built-up  Area,21-Dec,Talaghattapura,1868.0,3.0,2.0,131.0,3,7012.847965738758,1,0
Built-up  Area,Ready To Move,Kengeri Satellite Town,883.0,2.0,1.0,45.0,2,5096.262740656852,0,2
Plot  Area,Ready To Move,other,900.0,2.0,1.0,110.0,2,12222.222222222223,1,3
Super built-up  Area,Ready To Move,Hegde Nagar,2026.0,3.0,2.0,132.0,3,6515.301085883514,1,0
Super built-up  Area,Ready To Move,Balagere,1210.0,2.0,1.0,80.9,2,6685.950413223141,0,0
Super built-up  Area,Ready To Move,Kadugodi,1762.0,3.0,3.0,91.45,3,5190.124858115778,0,2
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,861.0,2.0,1.0,34.5,2,4006.968641114983,0,2
Built-up  Area,Ready To Move,7th Phase JP Nagar,1420.0,2.0,1.0,100.0,3,7042.2535211267605,1,0
Built-up  Area,Ready To Move,Electronics City Phase 1,1490.0,3.0,1.0,78.8,3,5288.5906040268455,0,2
Super built-up  Area,Ready To Move,Bisuvanahalli,1075.0,2.0,1.0,46.0,3,4279.069767441861,0,2
Super built-up  Area,18-Aug,Old Madras Road,1425.0,2.0,2.0,94.0,3,6596.491228070176,0,0
Built-up  Area,Ready To Move,Kalena Agrahara,1200.0,2.0,1.0,40.0,2,3333.3333333333335,0,2
Super built-up  Area,Ready To Move,Kaggadasapura,1280.0,2.0,2.0,56.0,3,4375.0,0,2
Super built-up  Area,Ready To Move,Haralur Road,1027.0,2.0,2.0,44.0,2,4284.323271665044,0,2
Super built-up  Area,Ready To Move,Electronic City Phase II,1069.0,2.0,2.0,45.0,2,4209.541627689429,0,2
Super built-up  Area,Ready To Move,Hebbal,1349.0,2.0,1.0,98.2,2,7279.466271312083,0,0
Super built-up  Area,Ready To Move,9th Phase JP Nagar,1005.0,2.0,1.0,50.0,2,4975.124378109453,0,2
Super built-up  Area,Ready To Move,Jakkur,1417.0,2.0,3.0,75.0,2,5292.87226534933,0,2
Plot  Area,18-Jan,TC Palaya,1475.0,3.0,1.0,98.0,3,6644.067796610169,0,0
Super built-up  Area,Ready To Move,Singasandra,1010.0,2.0,1.0,29.5,2,2920.792079207921,0,2
Super built-up  Area,Ready To Move,Kalena Agrahara,1425.0,2.0,1.0,70.0,3,4912.2807017543855,0,2
Super built-up  Area,Ready To Move,Vijayanagar,1450.0,3.0,0.0,100.0,3,6896.551724137931,1,0
Super built-up  Area,Ready To Move,Kothanur,1847.0,3.0,2.0,105.0,3,5684.89442338928,1,0
Super built-up  Area,Ready To Move,AECS Layout,1100.0,2.0,3.0,45.0,2,4090.909090909091,0,2
Super built-up  Area,20-Dec,Kanakpura Road,525.0,1.0,1.0,26.0,1,4952.380952380952,0,2
Super built-up  Area,Ready To Move,Mallasandra,1665.0,3.0,2.0,95.0,3,5705.705705705705,0,0
Super built-up  Area,Ready To Move,JP Nagar,1850.0,3.0,3.0,150.0,3,8108.108108108108,1,0
Super built-up  Area,Ready To Move,Panathur,1438.0,2.0,3.0,100.0,2,6954.102920723227,1,0
Super built-up  Area,Ready To Move,other,1560.0,3.0,3.0,115.0,3,7371.794871794872,1,0
Super built-up  Area,18-Apr,Malleshpalya,1140.0,2.0,2.0,46.5,2,4078.9473684210525,0,2
Super built-up  Area,Ready To Move,Whitefield,1280.0,2.0,2.0,75.0,2,5859.375,0,0
Built-up  Area,Ready To Move,Munnekollal,1170.0,2.0,2.0,52.0,2,4444.444444444444,0,2
Super built-up  Area,Ready To Move,Hennur Road,1385.0,2.0,1.0,83.09,2,5999.27797833935,0,0
Super built-up  Area,18-Apr,Electronic City,1128.0,2.0,1.0,65.0,2,5762.41134751773,0,0
Plot  Area,Ready To Move,Marathahalli,1200.0,2.0,2.0,128.0,2,10666.666666666666,1,3
Plot  Area,Ready To Move,other,1200.0,4.0,3.0,165.0,4,13750.0,1,1
Super built-up  Area,Ready To Move,Rajaji Nagar,2390.0,3.0,2.0,415.0,3,17364.016736401674,1,1
Plot  Area,Ready To Move,other,2400.0,4.0,1.0,400.0,4,16666.666666666668,1,1
Super built-up  Area,Ready To Move,Kaval Byrasandra,1200.0,2.0,2.0,52.0,2,4333.333333333333,0,2
Built-up  Area,Ready To Move,other,1645.0,3.0,2.0,95.0,3,5775.075987841945,0,0
Super built-up  Area,20-Mar,Sarjapur  Road,1000.0,2.0,1.0,67.0,2,6700.0,0,0
Plot  Area,Ready To Move,Haralur Road,2650.0,4.0,2.0,198.0,4,7471.698113207547,1,0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,1192.0,2.0,2.0,74.0,2,6208.053691275168,0,0
Super built-up  Area,Ready To Move,Ulsoor,2135.0,3.0,2.0,215.0,3,10070.257611241217,1,3
Built-up  Area,Ready To Move,Uttarahalli,1020.0,2.0,2.0,45.0,2,4411.764705882353,0,2
Super built-up  Area,Ready To Move,Thigalarapalya,3122.0,6.0,2.0,230.0,4,7367.072389493914,1,0
Plot  Area,18-Mar,other,1200.0,2.0,0.0,79.0,2,6583.333333333333,0,0
Super built-up  Area,Ready To Move,Devarachikkanahalli,1250.0,2.0,2.0,40.0,2,3200.0,0,2
Super built-up  Area,Ready To Move,Kalena Agrahara,1325.0,2.0,2.0,76.0,2,5735.8490566037735,0,0
Built-up  Area,Ready To Move,7th Phase JP Nagar,1850.0,3.0,1.0,150.0,3,8108.108108108108,1,0
Super built-up  Area,21-Dec,Kanakpura Road,525.0,2.0,2.0,21.53,1,4100.952380952381,0,2
Super built-up  Area,Ready To Move,Basaveshwara Nagar,1200.0,2.0,2.0,65.0,2,5416.666666666667,0,2
Plot  Area,Ready To Move,other,1350.0,2.0,0.0,140.0,3,10370.37037037037,1,3
Super built-up  Area,18-Jun,Bommasandra,1260.0,3.0,1.0,49.36,3,3917.4603174603176,0,2
Super built-up  Area,Ready To Move,other,1800.0,3.0,0.0,150.0,3,8333.333333333334,1,0
Built-up  Area,Ready To Move,Ardendale,1100.0,2.0,1.0,43.25,2,3931.818181818182,0,2
Super built-up  Area,Ready To Move,Harlur,1508.0,2.0,1.0,77.0,2,5106.100795755968,0,2
Super built-up  Area,Ready To Move,Akshaya Nagar,1388.0,2.0,3.0,57.0,2,4106.628242074928,0,2
Super built-up  Area,18-May,Electronic City Phase II,630.0,1.0,1.0,28.35,1,4500.0,0,2
Plot  Area,Ready To Move,other,2000.0,3.0,2.0,365.0,3,18250.0,1,1
Super built-up  Area,Ready To Move,other,1762.0,3.0,1.0,125.0,3,7094.211123723042,1,0
Super built-up  Area,Ready To Move,Kodihalli,3252.0,5.0,3.0,335.0,4,10301.353013530135,1,3
Super built-up  Area,18-Aug,Magadi Road,1116.0,2.0,1.0,50.0,2,4480.286738351255,0,2
Super built-up  Area,Ready To Move,Narayanapura,1308.0,2.0,2.0,89.04,2,6807.339449541284,0,0
Super built-up  Area,Ready To Move,other,1200.0,3.0,0.0,90.0,3,7500.0,0,0
Plot  Area,Ready To Move,other,1500.0,4.0,2.0,230.0,4,15333.333333333334,1,1
Built-up  Area,Ready To Move,Bannerghatta Road,500.0,1.0,1.0,18.5,1,3700.0,0,2
Super built-up  Area,Ready To Move,Hennur,1075.0,2.0,1.0,52.0,2,4837.209302325581,0,2
Super built-up  Area,18-Mar,Chandapura,530.0,1.0,0.0,11.66,1,2200.0,0,2
Built-up  Area,Ready To Move,Bellandur,1205.0,2.0,3.0,66.0,2,5477.178423236514,0,2
Super built-up  Area,Ready To Move,5th Phase JP Nagar,1075.0,2.0,2.0,60.0,2,5581.395348837209,0,2
Built-up  Area,Ready To Move,KR Puram,930.0,2.0,2.0,39.0,2,4193.548387096775,0,2
Super built-up  Area,Ready To Move,Hebbal,2483.0,5.0,2.0,212.0,4,8538.058799838904,1,0
Built-up  Area,Ready To Move,Kodigehaali,1166.0,2.0,2.0,55.0,2,4716.981132075472,0,2
Super built-up  Area,Ready To Move,Bannerghatta Road,1050.0,2.0,1.0,65.0,2,6190.476190476191,0,0
Super built-up  Area,19-Mar,other,2023.71,3.0,2.0,275.0,3,13588.903548433324,1,1
Super built-up  Area,Ready To Move,Begur Road,1200.0,2.0,2.0,46.8,2,3900.0,0,2
Super built-up  Area,Ready To Move,Lakshminarayana Pura,1600.0,2.0,1.0,108.0,3,6750.0,1,0
Super built-up  Area,18-May,8th Phase JP Nagar,451.0,1.0,0.0,29.9,1,6629.711751662971,0,0
Super built-up  Area,Ready To Move,Electronic City,1800.0,3.0,2.0,95.0,3,5277.777777777777,0,2
Super built-up  Area,Ready To Move,Hegde Nagar,1801.0,3.0,2.0,115.0,3,6385.341476957246,1,0
Built-up  Area,Ready To Move,Mahadevpura,1451.0,2.0,2.0,90.0,2,6202.618883528601,0,0
Super built-up  Area,Ready To Move,Begur Road,1160.0,2.0,2.0,44.0,2,3793.103448275862,0,2
Built-up  Area,Ready To Move,Vijayanagar,1580.0,2.0,0.0,134.0,3,8481.012658227848,1,0
Built-up  Area,Ready To Move,7th Phase JP Nagar,1245.0,2.0,1.0,94.0,2,7550.2008032128515,0,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1145.0,2.0,2.0,45.79,2,3999.126637554585,0,2
Super built-up  Area,Ready To Move,Sompura,825.0,2.0,1.0,33.0,2,4000.0,0,2
Super built-up  Area,18-Aug,Yeshwanthpur,1693.0,3.0,3.0,108.0,3,6379.208505611341,1,0
Built-up  Area,Ready To Move,Doddathoguru,1050.0,2.0,1.0,32.0,2,3047.6190476190477,0,2
Built-up  Area,Ready To Move,Dodda Nekkundi,1260.0,2.0,2.0,55.0,2,4365.079365079365,0,2
Built-up  Area,Ready To Move,Hosur Road,1656.0,2.0,1.0,120.0,2,7246.376811594203,1,0
Super built-up  Area,Ready To Move,Chandapura,1208.0,3.0,1.0,45.0,3,3725.1655629139073,0,2
Super built-up  Area,Ready To Move,Whitefield,1910.0,3.0,2.0,161.0,3,8429.319371727748,1,0
Super built-up  Area,Ready To Move,Whitefield,3252.0,4.0,1.0,230.0,4,7072.570725707257,1,0
Plot  Area,Ready To Move,Battarahalli,1200.0,2.0,1.0,65.0,2,5416.666666666667,0,2
Super built-up  Area,Ready To Move,other,1200.0,4.0,1.0,175.0,4,14583.333333333334,1,1
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1175.0,2.0,1.0,82.0,2,6978.723404255319,0,0
Plot  Area,Ready To Move,other,1000.0,2.0,0.0,165.0,2,16500.0,1,1
Plot  Area,Ready To Move,Bannerghatta Road,1200.0,2.0,0.0,125.0,4,10416.666666666666,1,3
Super built-up  Area,Ready To Move,Rajaji Nagar,2390.0,3.0,2.0,410.0,3,17154.81171548117,1,1
Super built-up  Area,Ready To Move,Kengeri,750.0,2.0,1.0,38.0,2,5066.666666666667,0,2
Super built-up  Area,Ready To Move,Billekahalli,1125.0,2.0,2.0,62.0,2,5511.111111111111,0,2
